,hash,block_number,from_address,to_address,OFAC sanctioned address interacted,sanctioned_type,merge,delay,included_in_block_num
51,0xb79d9e7e12de7a7c51e246d7edfd16cc1de900dcec43e4dd94c052a1b7cf39bb,15471134,0xc33a17577c0377db0812ff5327beac53ce395948,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,12.071821,15471134.0
52,0xc532831f6b3d20ecfb10103f272b3bd932460c997b7f297b43dfdae03696d0c9,15471224,0xe975d14c00226db2214da034ab42e7b295996131,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,14.265057,15471224.0
53,0xa2fa9c92c5c04b9dcd0b45580b97ecb0c6802e0f75bb26aca0acabecbd531ebe,15471332,0xb5561ccd0af20078fa3afb21b22632fc1fd00ab9,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,25.947491,15471332.0
54,0xd0d4f7cdd66546d6f7fec1227653061be3dcf4641cfda99cd4d1e904eac17b2b,15471399,0xf305382678800d65c8e9c496a4b52a3c8b8a9115,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,32.738669,15471399.0
55,0x0faa48733cf7dc1f71146b4e086ad29c3b47cb821b3dc479b172e6d3940a313b,15471409,0xf305382678800d65c8e9c496a4b52a3c8b8a9115,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,11.047557,15471409.0
56,0x70e36288ca2d6ac10661ef7292d5ac911468476048d77be82b24e33fb9e78f7b,15471412,0x0f69bea3e0aa0f40d5bce1875565ff87ab058db0,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,43.266688,15471412.0
57,0x79c341e1c548455390f740b782e12473ffd8e45265aaec18747ece89c57edaee,15471412,0xf305382678800d65c8e9c496a4b52a3c8b8a9115,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,19.226466,15471412.0
58,0xb819e0df37d0a644fd1b0209c2440f31289f6aec90f8f9dc954f4d83fa946a60,15471401,0xf305382678800d65c8e9c496a4b52a3c8b8a9115,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,21.236178,15471401.0
59,0x88479cc5446f0ed2cbc86712a1d7ed034e1baea24fb502e6ab85e21cc2376361,15471706,0x723cc7b6ded08048902906f2d52d6d138040ab9f,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,27.302692,15471706.0
60,0x1e258cc6896f13a8a31647e5aa2d1a7b728e8b073fd1f6a71492253e255e711b,15471717,0x723cc7b6ded08048902906f2d52d6d138040ab9f,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,11.50926,15471717.0
61,0x3a64267684258fac80323168f2d72222304f03940332c91d6b613f01012ebe06,15471711,0x723cc7b6ded08048902906f2d52d6d138040ab9f,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,39.925623,15471711.0
